numero_ot,fecha_deteccion,fecha_programada,severidad,tipo,prioridad,equipo,ubicacion,thd_detectado,score_anomalia,especialidad_requerida,duracion_estimada_horas,costo_total_estimado,tiempo_respuesta,prescripciones,estado,responsable,observaciones
OT-FP1-20250906-0001,2025-08-01 00:00:00,2025-08-01 02:00:00,CRÍTICO,CORRECTIVO,1,Compresor C1,Sala de Compresores - Planta Refrigeración,4.403142857142857,-0.7314389921584756,Eléctrica Senior,8.0,884.0,2 horas,"['🚨 PARADA INMEDIATA del compresor para inspección', '⚡ Verificación completa del sistema eléctrico trifásico', '🔍 Medición detallada de THD en todas las fases', '🛠️ Inspección de contactores y conexiones eléctricas', '📊 Análisis de armónicos con analizador de red', '🔧 Revisión de filtros armónicos si están instalados', '🚨 THD EXTREMO detectado - Riesgo crítico de daño a equipos', '⚡ Verificar inmediatamente cargas no lineales', '🔧 Instalación urgente de filtros armónicos requerida']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 4.403, Score: -0.731"
OT-FP1-20250906-0002,2025-08-01 00:09:00,2025-08-01 08:09:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.5828571428571429,-0.5872980705757124,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.583, Score: -0.587"
OT-FP1-20250906-0003,2025-08-01 00:18:00,2025-08-01 08:18:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.7691428571428572,-0.5436606207007569,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.769, Score: -0.544"
OT-FP1-20250906-0004,2025-08-01 00:27:00,2025-08-01 08:27:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.7154285714285713,-0.5457968844045328,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.715, Score: -0.546"
OT-FP1-20250906-0005,2025-08-01 00:36:00,2025-08-01 08:36:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.7031428571428571,-0.5539170735081711,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.703, Score: -0.554"
OT-FP1-20250906-0006,2025-08-01 00:45:00,2025-08-01 08:45:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,1.1471428571428572,-0.5518713093733683,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 1.147, Score: -0.552"
OT-FP1-20250906-0007,2025-08-01 00:54:00,2025-08-01 08:54:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,1.144,-0.559020558484119,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 1.144, Score: -0.559"
OT-FP1-20250906-0008,2025-08-01 01:39:00,2025-08-01 09:39:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.24942857142857147,-0.5624734845365351,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.249, Score: -0.562"
OT-FP1-20250906-0009,2025-08-01 01:48:00,2025-08-01 09:48:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.8534285714285714,-0.5670074481827744,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.853, Score: -0.567"
OT-FP1-20250906-0010,2025-08-01 02:51:00,2025-08-01 10:51:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.6865714285714286,-0.5520821046755393,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.687, Score: -0.552"
